Name;Description;Ingredients;Preparation;Calories_kcal
Bowl - Couscous-Garnelen-Bowl;Leichte Couscous-Bowl mit Garnelen und Gemüse.;Couscous (Hartweizen) roh:85|Garnele/Granat/Krabbe, roh:140|Zucchini roh:100|Gemüsepaprika grün, roh:80|Tomate roh:100|Olivenöl:10|Limette roh:30|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Getreide oder Sättigungsbeilage nach Packungsangabe garen.<br>Gemüse waschen und mundgerecht schneiden.<br>Protein anbraten oder erwärmen.<br>Alles in einer Schüssel anrichten.<br>Dressing aus Öl, Säure und Würzzutaten verrühren und darübergeben.<br>Kalorien: ca. 600 kcal.;600
Bowl - Süßkartoffel-Tofu-Bowl;Vegane Bowl mit gerösteter Süßkartoffel und Tofu.;Batate/Süßkartoffel, roh:220|Tofu:140|Feldsalat/Rapunzel, roh:60|Kichererbse reif, Konserve, abgetropft:100|Tahin (Sesammus):20|Zitronensaft:12|Rapsöl/Rüböl:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Getreide oder Sättigungsbeilage nach Packungsangabe garen.<br>Gemüse waschen und mundgerecht schneiden.<br>Protein anbraten oder erwärmen.<br>Alles in einer Schüssel anrichten.<br>Dressing aus Öl, Säure und Würzzutaten verrühren und darübergeben.<br>Kalorien: ca. 790 kcal.;790
Normale Pizza - Margherita;Klassische Pizza mit Tomatensauce, Mozzarella und Basilikum.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:120|Tomatenmark:10|Mozzarella mind. 45 % Fett i. Tr.:90|Basilikum roh:10|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Belag gleichmäßig verteilen und Käse darübergeben.<br>Pizza 12 bis 18 Minuten backen, bis der Rand knusprig ist.<br>Kurz ruhen lassen und schneiden.<br>Kalorien: ca. 940 kcal.;940
Normale Pizza - Salami-Champignon;Herzhafte Pizza mit Salami, Champignons und Käse.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:120|Mozzarella mind. 45 % Fett i. Tr.:80|Salami:50|Champignon roh:90|Speisezwiebel roh:30|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Belag gleichmäßig verteilen und Käse darübergeben.<br>Pizza 12 bis 18 Minuten backen, bis der Rand knusprig ist.<br>Kurz ruhen lassen und schneiden.<br>Kalorien: ca. 1120 kcal.;1120
Normale Pizza - Thunfisch-Zwiebel;Saftige Pizza mit Thunfisch, Zwiebeln und Oliven.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:120|Mozzarella mind. 45 % Fett i. Tr.:80|Thunfisch im eigenen Saft, Konserve, abgetropft:100|Speisezwiebel roh:60|Oliven grün, gesäuert, abgetropft:30|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Belag gleichmäßig verteilen und Käse darübergeben.<br>Pizza 12 bis 18 Minuten backen, bis der Rand knusprig ist.<br>Kurz ruhen lassen und schneiden.<br>Kalorien: ca. 1050 kcal.;1050
Normale Pizza - Hähnchen-Paprika;Proteinreiche Pizza mit Hähnchen und Paprika.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:120|Mozzarella mind. 45 % Fett i. Tr.:80|Hähnchen Brust, ohne Haut, roh:100|Gemüsepaprika rot, roh:80|Zucchini roh:60|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Belag gleichmäßig verteilen und Käse darübergeben.<br>Pizza 12 bis 18 Minuten backen, bis der Rand knusprig ist.<br>Kurz ruhen lassen und schneiden.<br>Kalorien: ca. 1050 kcal.;1050
Normale Pizza - Spinat-Feta;Vegetarische Pizza mit Spinat, Feta und Tomate.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:120|Mozzarella mind. 45 % Fett i. Tr.:60|Feta mind. 45 % Fett i. Tr.:60|Spinat roh:90|Tomate roh:80|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Belag gleichmäßig verteilen und Käse darübergeben.<br>Pizza 12 bis 18 Minuten backen, bis der Rand knusprig ist.<br>Kurz ruhen lassen und schneiden.<br>Kalorien: ca. 1050 kcal.;1050
Normale Pizza - Lachs-Rucola;Pizza mit Lachs, Rucola und leichter Zitronennote.;Hefeteig für Pizza/Pizzateig, roh:250|Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr.:50|Mozzarella mind. 45 % Fett i. Tr.:60|Lachs geräuchert (Räucherlachs):80|Rucola roh:40|Zitronensaft:10|Olivenöl:5|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Belag gleichmäßig verteilen und Käse darübergeben.<br>Pizza 12 bis 18 Minuten backen, bis der Rand knusprig ist.<br>Kurz ruhen lassen und schneiden.<br>Kalorien: ca. 1090 kcal.;1090
Vegane Pizza - Gemüse-Mozzarella-Art;Vegane Pizza mit buntem Gemüse und Käsealternative.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:130|Käsealternative Mozzarella-Art, vegan:80|Zucchini roh:90|Gemüsepaprika gelb, roh:80|Champignon roh:80|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Gemüse und pflanzliche Proteinquelle verteilen.<br>Vegane Käsealternative darübergeben.<br>Pizza 12 bis 18 Minuten knusprig backen.<br>Kalorien: ca. 910 kcal.;910
Vegane Pizza - Tofu-Spinat;Vegane Pizza mit Tofu, Spinat und Tomatensauce.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:130|Käsealternative Mozzarella-Art, vegan:70|Tofu:100|Spinat roh:90|Speisezwiebel roh:40|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Gemüse und pflanzliche Proteinquelle verteilen.<br>Vegane Käsealternative darübergeben.<br>Pizza 12 bis 18 Minuten knusprig backen.<br>Kalorien: ca. 970 kcal.;970
Vegane Pizza - Kichererbsen-Paprika;Vegane Pizza mit Kichererbsen, Paprika und Rucola.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:130|Käsealternative Mozzarella-Art, vegan:70|Kichererbse reif, Konserve, abgetropft:100|Gemüsepaprika rot, roh:90|Rucola roh:30|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Gemüse und pflanzliche Proteinquelle verteilen.<br>Vegane Käsealternative darübergeben.<br>Pizza 12 bis 18 Minuten knusprig backen.<br>Kalorien: ca. 1000 kcal.;1000
Vegane Pizza - Aubergine-Tomate;Aromatische vegane Pizza mit Aubergine und Tomaten.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:130|Käsealternative Mozzarella-Art, vegan:75|Aubergine roh:110|Tomate roh:90|Basilikum roh:10|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Gemüse und pflanzliche Proteinquelle verteilen.<br>Vegane Käsealternative darübergeben.<br>Pizza 12 bis 18 Minuten knusprig backen.<br>Kalorien: ca. 880 kcal.;880
Vegane Pizza - Broccoli-Mais;Vegane Pizza mit Broccoli, Mais und Paprika.;Hefeteig für Pizza/Pizzateig, roh:250|Tomaten passiert/Tomatenpüree:130|Käsealternative Mozzarella-Art, vegan:75|Broccoli roh:100|Zuckermais Konserve, abgetropft:70|Gemüsepaprika grün, roh:70|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Gemüse und pflanzliche Proteinquelle verteilen.<br>Vegane Käsealternative darübergeben.<br>Pizza 12 bis 18 Minuten knusprig backen.<br>Kalorien: ca. 950 kcal.;950
Vegane Pizza - Vollkorn-Pilz;Vegane Vollkornpizza mit Pilzen und Zwiebeln.;Vollkornhefeteig für Pizza/Vollkornpizzateig, roh:250|Tomaten passiert/Tomatenpüree:130|Käsealternative Mozzarella-Art, vegan:75|Champignon roh:120|Shiitakepilz roh:70|Speisezwiebel roh:50|Olivenöl:5|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 220 °C vorheizen.<br>Pizzateig ausrollen und mit Tomatensauce bestreichen.<br>Gemüse und pflanzliche Proteinquelle verteilen.<br>Vegane Käsealternative darübergeben.<br>Pizza 12 bis 18 Minuten knusprig backen.<br>Kalorien: ca. 920 kcal.;920
Curry - Kichererbsen-Kokos-Curry;Veganes Kokoscurry mit Kichererbsen und Gemüse.;Reis poliert, roh:85|Kichererbse reif, Konserve, abgetropft:160|Kokosmilch/Kokosnussmilch:180|Speisezwiebel roh:50|Knoblauch roh:5|Ingwer/Ingwerwurzel, roh:8|Zucchini roh:100|Gemüsepaprika rot, roh:80|Kokos-Currysauce vegan:60|Rapsöl/Rüböl:10|Limette roh:30;Reis oder Beilage nach Packungsangabe garen.<br>Zwiebel, Knoblauch und Ingwer in Öl anschwitzen.<br>Gemüse und Protein zugeben und kurz anbraten.<br>Kokosmilch oder Currysauce einrühren und 10 bis 15 Minuten köcheln lassen.<br>Mit Limette oder Zitronensaft abschmecken und servieren.<br>Kalorien: ca. 1210 kcal.;1210
Curry - Hähnchen-Curry mit Reis;Mildes Hähnchencurry mit Kokosmilch, Reis und Gemüse.;Reis parboiled, poliert, roh:85|Hähnchen Brust, ohne Haut, roh:140|Kokosmilch/Kokosnussmilch:160|Currysauce indisch:80|Speisezwiebel roh:50|Knoblauch roh:5|Broccoli roh:120|Karotte/Möhre, roh:80|Rapsöl/Rüböl:10|Speisesalz/Siedesalz/Tafelsalz:2;Reis oder Beilage nach Packungsangabe garen.<br>Zwiebel, Knoblauch und Ingwer in Öl anschwitzen.<br>Gemüse und Protein zugeben und kurz anbraten.<br>Kokosmilch oder Currysauce einrühren und 10 bis 15 Minuten köcheln lassen.<br>Mit Limette oder Zitronensaft abschmecken und servieren.<br>Kalorien: ca. 1040 kcal.;1040
Curry - Linsen-Spinat-Curry;Sättigendes Linsencurry mit Spinat und Tomate.;Reis poliert, roh:80|Linse rot reif:80|Kokosmilch/Kokosnussmilch:160|Tomaten passiert/Tomatenpüree:160|Spinat roh:120|Speisezwiebel roh:50|Knoblauch roh:5|Ingwer/Ingwerwurzel, roh:8|Rapsöl/Rüböl:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Reis oder Beilage nach Packungsangabe garen.<br>Zwiebel, Knoblauch und Ingwer in Öl anschwitzen.<br>Gemüse und Protein zugeben und kurz anbraten.<br>Kokosmilch oder Currysauce einrühren und 10 bis 15 Minuten köcheln lassen.<br>Mit Limette oder Zitronensaft abschmecken und servieren.<br>Kalorien: ca. 1100 kcal.;1100
Curry - Garnelen-Mango-Curry;Fruchtiges Curry mit Garnelen, Mango und Kokosmilch.;Reis poliert, roh:85|Garnele/Granat/Krabbe, roh:150|Mango roh:120|Kokosmilch/Kokosnussmilch:160|Currysauce indisch:70|Speisezwiebel roh:40|Ingwer/Ingwerwurzel, roh:8|Rapsöl/Rüböl:10|Limette roh:30|Speisesalz/Siedesalz/Tafelsalz:2;Reis oder Beilage nach Packungsangabe garen.<br>Zwiebel, Knoblauch und Ingwer in Öl anschwitzen.<br>Gemüse und Protein zugeben und kurz anbraten.<br>Kokosmilch oder Currysauce einrühren und 10 bis 15 Minuten köcheln lassen.<br>Mit Limette oder Zitronensaft abschmecken und servieren.<br>Kalorien: ca. 1030 kcal.;1030
Curry - Tofu-Erdnuss-Curry;Veganes Curry mit Tofu, Gemüse und Erdnussnote.;Reis parboiled, poliert, roh:80|Tofu:150|Kokosmilch/Kokosnussmilch:150|Erdnussbutter/Erdnusscreme:25|Kokos-Currysauce vegan:60|Broccoli roh:120|Gemüsepaprika gelb, roh:80|Speisezwiebel roh:50|Rapsöl/Rüböl:10;Reis oder Beilage nach Packungsangabe garen.<br>Zwiebel, Knoblauch und Ingwer in Öl anschwitzen.<br>Gemüse und Protein zugeben und kurz anbraten.<br>Kokosmilch oder Currysauce einrühren und 10 bis 15 Minuten köcheln lassen.<br>Mit Limette oder Zitronensaft abschmecken und servieren.<br>Kalorien: ca. 1220 kcal.;1220
Curry - Fisch-Curry mit Kabeljau;Leichtes Fischcurry mit Kabeljau, Zucchini und Kokosmilch.;Reis poliert, roh:85|Dorsch/Kabeljau, roh:160|Kokosmilch/Kokosnussmilch:160|Currysauce indisch:80|Zucchini roh:120|Tomate roh:100|Speisezwiebel roh:50|Knoblauch roh:5|Rapsöl/Rüböl:10|Zitronensaft:10;Reis oder Beilage nach Packungsangabe garen.<br>Zwiebel, Knoblauch und Ingwer in Öl anschwitzen.<br>Gemüse und Protein zugeben und kurz anbraten.<br>Kokosmilch oder Currysauce einrühren und 10 bis 15 Minuten köcheln lassen.<br>Mit Limette oder Zitronensaft abschmecken und servieren.<br>Kalorien: ca. 1000 kcal.;1000
Suppe - Kartoffel-Lauch-Suppe;Cremige Suppe mit Kartoffeln, Lauch und Gemüsebrühe.;Kartoffel geschält, roh:260|Porree/Lauch, roh:120|Speisezwiebel roh:50|Gemüsebrühe:450|Schlagsahne mind. 30 % Fett:40|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Gemüse waschen, schälen und klein schneiden.<br>Zwiebel in Öl anschwitzen.<br>Gemüse zugeben, mit Brühe auffüllen und weich kochen.<br>Nach Wunsch pürieren oder stückig lassen.<br>Mit Salz und Pfeffer abschmecken und heiß servieren.<br>Kalorien: ca. 490 kcal.;490
Suppe - Tomaten-Reis-Suppe;Einfache Tomatensuppe mit Reis und Basilikum.;Tomaten passiert/Tomatenpüree:350|Reis poliert, roh:45|Speisezwiebel roh:50|Knoblauch roh:5|Gemüsebrühe:350|Tomatenmark:20|Olivenöl:8|Basilikum roh:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Gemüse waschen, schälen und klein schneiden.<br>Zwiebel in Öl anschwitzen.<br>Gemüse zugeben, mit Brühe auffüllen und weich kochen.<br>Nach Wunsch pürieren oder stückig lassen.<br>Mit Salz und Pfeffer abschmecken und heiß servieren.<br>Kalorien: ca. 390 kcal.;390
Suppe - Kürbis-Kokos-Suppe;Sämige Kürbissuppe mit Kokosmilch und Ingwer.;Kürbis Hokkaido (C. maxima) roh:300|Kokosmilch/Kokosnussmilch:140|Speisezwiebel roh:50|Ingwer/Ingwerwurzel, roh:8|Gemüsebrühe:350|Rapsöl/Rüböl:8|Zitronensaft:10|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Gemüse waschen, schälen und klein schneiden.<br>Zwiebel in Öl anschwitzen.<br>Gemüse zugeben, mit Brühe auffüllen und weich kochen.<br>Nach Wunsch pürieren oder stückig lassen.<br>Mit Salz und Pfeffer abschmecken und heiß servieren.<br>Kalorien: ca. 520 kcal.;520
Suppe - Linsen-Gemüse-Suppe;Herzhafte Linsensuppe mit Karotte und Sellerie.;Linse reif:80|Karotte/Möhre, roh:100|Knollensellerie roh:80|Speisezwiebel roh:50|Tomatenmark:15|Gemüsebrühe:500|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Gemüse waschen, schälen und klein schneiden.<br>Zwiebel in Öl anschwitzen.<br>Gemüse zugeben, mit Brühe auffüllen und weich kochen.<br>Nach Wunsch pürieren oder stückig lassen.<br>Mit Salz und Pfeffer abschmecken und heiß servieren.<br>Kalorien: ca. 450 kcal.;450
Suppe - Broccoli-Käse-Suppe;Cremige Broccolisuppe mit Gouda.;Broccoli roh:260|Kartoffel geschält, roh:120|Speisezwiebel roh:50|Gemüsebrühe:420|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:150|Gouda 48 % Fett i. Tr.:45|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Gemüse waschen, schälen und klein schneiden.<br>Zwiebel in Öl anschwitzen.<br>Gemüse zugeben, mit Brühe auffüllen und weich kochen.<br>Nach Wunsch pürieren oder stückig lassen.<br>Mit Salz und Pfeffer abschmecken und heiß servieren.<br>Kalorien: ca. 540 kcal.;540
Suppe - Hühner-Nudel-Suppe;Klassische Suppe mit Hähnchen, Nudeln und Gemüse.;Hähnchen Brust, ohne Haut, roh:120|Teigwaren eifrei, roh:55|Karotte/Möhre, roh:90|Porree/Lauch, roh:80|Knollensellerie roh:60|Hühnerbrühe:550|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Gemüse waschen, schälen und klein schneiden.<br>Zwiebel in Öl anschwitzen.<br>Gemüse zugeben, mit Brühe auffüllen und weich kochen.<br>Nach Wunsch pürieren oder stückig lassen.<br>Mit Salz und Pfeffer abschmecken und heiß servieren.<br>Kalorien: ca. 430 kcal.;430
Auflauf - Kartoffel-Broccoli-Auflauf;Cremiger Auflauf mit Kartoffeln, Broccoli und Käse.;Kartoffel geschält, roh:280|Broccoli roh:180|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:160|Schlagsahne mind. 30 % Fett:40|Gouda 48 % Fett i. Tr.:60|Speisezwiebel roh:40|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 190 °C vorheizen.<br>Sättigungsbeilage vorgaren und Gemüse vorbereiten.<br>Alles mit Sauce oder Milchprodukt in eine Form geben.<br>Mit Käse bestreuen und 25 bis 35 Minuten backen.<br>Vor dem Servieren kurz ruhen lassen.<br>Kalorien: ca. 730 kcal.;730
Auflauf - Nudel-Hack-Auflauf;Herzhafter Nudelauflauf mit Hackfleisch und Tomatensauce.;Teigwaren eifrei, roh:90|Rind Hackfleisch, roh:130|Tomaten passiert/Tomatenpüree:220|Tomatenmark:20|Mozzarella mind. 45 % Fett i. Tr.:60|Speisezwiebel roh:50|Knoblauch roh:5|Olivenöl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Backofen auf 190 °C vorheizen.<br>Sättigungsbeilage vorgaren und Gemüse vorbereiten.<br>Alles mit Sauce oder Milchprodukt in eine Form geben.<br>Mit Käse bestreuen und 25 bis 35 Minuten backen.<br>Vor dem Servieren kurz ruhen lassen.<br>Kalorien: ca. 930 kcal.;930
